Налог број:;;;;;;;3003;;;;;;;;;;;;;;;;;;
Датум:;;;;31.03.2026;;;;;;;;;;;;;;;;;;;;;
Опис:;;;;;;;;;;;;;;;;;;;;;;;;;
;Р.Бр.;;Број;;;Опис;;Сметка;;;Вид док.;;Партнер;;Должи;;;;Побарува;;Состојба;;;;Датум
;1;16;;;;;;4460;;Извод;;ТУТУНСКА БАНКА;;500;;;;0;;500;;;;02.03.2026;
;2;16;;;;;;4460;;Извод;;ТУТУНСКА БАНКА;;50;;;;0;;550;;;;02.03.2026;
;3;16;;;;;;1000;;Извод;;ТУТУНСКА БАНКА;;0;;;;550;;0;;;;02.03.2026;
;4;17;;;;;;4460;;Извод;;ТУТУНСКА БАНКА;;204;;;;0;;204;;;;12.03.2026;
;5;17;;;;;;4460;;Извод;;ТУТУНСКА БАНКА;;40;;;;0;;244;;;;12.03.2026;
;6;17;;;;;;1000;;Извод;;ТУТУНСКА БАНКА;;0;;;;244;;0;;;;12.03.2026;
;;;;;;;;;;;;;;;;;Должи:;;;;;794,00;;;
;;;;;;;;;;;;;;;;;Побарува:;;;;;794,00;;;
;;;;;;;;;;;;;;;;Салдо:;;;;;;0,00;;;
;;;;;;;;;ЕЛЕКТРО МЕ-НА ДООЕЛ, Ул.Благоја Стефковски бр. 111А, СКОПЈЕ-1000, MK4027011514030;;;;;;;;;;;;;;1/1;;
