Налог број:;;;;;;;8001;;;;;;;;;;;;;;;;;;
Датум:;;;;31.01.2026;;;;;;;;;;;;;;;;;;;;;
Опис:;;;;;;;;;;;;;;;;;;;;;;;;;
;Р.Бр.;;Број;;;Опис;;Сметка;;;Вид док.;;Партнер;;Должи;;;;Побарува;;Состојба;;;;Датум
;1;0002;;;;;;1020;;Сметкопотврда;;;;0;;;;2.418;;-2.418;;;;09.01.2026;
;2;;;;;;;4050;;Сметкопотврда;;;;2.050;;;;0;;-368;;;;09.01.2026;
;3;;;;;;;130018;;Сметкопотврда;;;;368;;;;0;;0;;;;09.01.2026;
;4;0006;;;;;;1020;;Сметкопотврда;;;;0;;;;4.499;;-4.499;;;;13.01.2026;
;5;;;;;;;4475;;Сметкопотврда;;;;3.813;;;;0;;-686;;;;13.01.2026;
;6;;;;;;;130018;;Сметкопотврда;;;;686;;;;0;;0;;;;13.01.2026;
;7;0007;;;;;;1020;;Сметкопотврда;;;;0;;;;2.200;;-2.200;;;;14.01.2026;
;8;;;;;;;4000;;Сметкопотврда;;;;1.864;;;;0;;-336;;;;14.01.2026;
;9;;;;;;;130018;;Сметкопотврда;;;;336;;;;0;;0;;;;14.01.2026;
;10;37946;;;;;;1020;;Сметкопотврда;;;;0;;;;240;;-240;;;;16.01.2026;
;11;;;;;;;4141;;Сметкопотврда;;;;240;;;;0;;0;;;;16.01.2026;
;12;0017;;;;;;1020;;Сметкопотврда;;;;0;;;;400;;-400;;;;17.01.2026;
;13;;;;;;;4000;;Сметкопотврда;;;;339;;;;0;;-61;;;;17.01.2026;
;14;;;;;;;130018;;Сметкопотврда;;;;61;;;;0;;0;;;;17.01.2026;
;15;0160;;;моторно уље;;;1020;;Сметкопотврда;;;;0;;;;400;;-400;;;;20.01.2026;
;16;;;;;;;4032;;Сметкопотврда;;;;339;;;;0;;-61;;;;20.01.2026;
;17;;;;;;;130018;;Сметкопотврда;;;;61;;;;0;;0;;;;20.01.2026;
;18;0129;;;моторно уље;;;1020;;Сметкопотврда;;;;0;;;;400;;-400;;;;20.01.2026;
;19;;;;;;;4032;;Сметкопотврда;;;;339;;;;0;;-61;;;;20.01.2026;
;20;;;;;;;130018;;Сметкопотврда;;;;61;;;;0;;0;;;;20.01.2026;
;21;279688;;;;;;1020;;Сметкопотврда;;;;0;;;;140;;-140;;;;29.01.2026;
;22;;;;;;;4141;;Сметкопотврда;;;;140;;;;0;;0;;;;29.01.2026;
;;;;;;;;;;;;;;;;;Должи:;;;;;10.697,00;;;
;;;;;;;;;;;;;;;;;Побарува:;;;;;10.697,00;;;
;;;;;;;;;;;;;;;;Салдо:;;;;;;0,00;;;
;;;;;;;;;ЕЛЕКТРО МЕ-НА ДООЕЛ, Ул.Благоја Стефковски бр. 111А, СКОПЈЕ-1000, MK4027011514030;;;;;;;;;;;;;;1/1;;
