Налог број:;;;;;;;1001;;;;;;;;;;;;;;;;;;
Датум:;;;;31.01.2026;;;;;;;;;;;;;;;;;;;;;
Опис:;;;;;;;;;;;;;;;;;;;;;;;;;
;Р.Бр.;;Број;;;Опис;;Сметка;;;Вид док.;;Партнер;;Должи;;;;Побарува;;Состојба;;;;Датум
;1;031/2026;;;;;;2200;;Фактура;;МР.БОЛТ ;;0;;;;2.431;;-2.431;;;;14.01.2026;
;2;;;;;;;4000;;Фактура;;;;2.060;;;;0;;-371;;;;14.01.2026;
;3;;;;;;;130018;;Фактура;;;;371;;;;0;;0;;;;14.01.2026;
;4;341/2026;;;;;;2200;;Фактура;;ПРО-ИНС;;0;;;;4.938;;-4.938;;;;14.01.2026;
;5;;;;;;;4450;;Фактура;;;;4.938;;;;0;;0;;;;14.01.2026;
;6;34/2026;;;;;;2200;;Фактура;;ВАРСА ТРАНС ДООЕЛ;;0;;;;28.320;;-28.320;;;;29.01.2026;
;7;;;;превоз на Мерло;;;4190;;Фактура;;;;24.000;;;;0;;-4.320;;;;29.01.2026;
;8;;;;;;;130018;;Фактура;;;;4.320;;;;0;;0;;;;29.01.2026;
;9;023426022026-6;;;;;;2200;;Фактура;;МАКЕДОНСКИ ТЕЛЕКОМ АД Скопје;;0;;;;8.672;;-8.672;;;;31.01.2026;
;10;;;;;;;4110;;Фактура;;;;6.649;;;;0;;-2.023;;;;31.01.2026;
;11;;;;;;;130018;;Фактура;;;;1.197;;;;0;;-826;;;;31.01.2026;
;12;;;;месечна рата за опрема и таксени марки;;;4475;;Фактура;;;;826;;;;0;;0;;;;31.01.2026;
;13;1;;;;;;2200;;Фактура;;ТИМ ГРУП 2012 ДОО;;0;;;;13.712;;-13.712;;;;17.01.2026;
;14;;;;;;;4050;;Фактура;;;;11.620;;;;0;;-2.092;;;;17.01.2026;
;15;;;;;;;130018;;Фактура;;;;2.092;;;;0;;0;;;;17.01.2026;
;;;;;;;;;;;;;;;;;Должи:;;;;;58.072,81;;;
;;;;;;;;;;;;;;;;;Побарува:;;;;;58.073,00;;;
;;;;;;;;;;;;;;;;Салдо:;;;;;;-0,19;;;
;;;;;;;;;ЕЛЕКТРО МЕ-НА ДООЕЛ, Ул.Благоја Стефковски бр. 111А, СКОПЈЕ-1000, MK4027011514030;;;;;;;;;;;;;;1/1;;
