Date,"Doc Type",Reference,Type,"Account Code","Account Name",Description,Debit,Credit,"Partner Code","Partner Tax ID","Partner Name",Currency
2025-11-01,FI,2025000001,invoice,1610,"Побарувања од купувачи","Invoice 2025000001 - test customer",200.00,0.00,C000001,,"test customer",MKD
2025-11-01,FI,2025000001,invoice,4000,"Приходи од продажба","Invoice 2025000001 - test customer",0.00,200.00,C000001,,"test customer",MKD
2025-11-01,PL,2025000001,payment,1020,"Парични средства","Payment 2025000001 - test customer",200.00,0.00,C000001,,"test customer",MKD
2025-11-01,PL,2025000001,payment,1610,"Побарувања од купувачи","Payment 2025000001 - test customer",0.00,200.00,C000001,,"test customer",MKD
2025-11-01,FP,EXP-1,expense,5000,"test category","test category - EXP-1",10035.00,0.00,,,,MKD
2025-11-01,FP,EXP-1,expense,2210,"Обврски кон добавувачи","test category - EXP-1",0.00,10035.00,,,,MKD
2025-11-09,FI,2025000007,invoice,1610,"Побарувања од купувачи","Invoice 2025000007 - Adidas",4130.00,0.00,123456789,123456789,Adidas,MKD
2025-11-09,FI,2025000007,invoice,4010,"Приходи од продажба на стока","Invoice 2025000007 - Adidas",0.00,3500.00,123456789,123456789,Adidas,MKD
2025-11-09,FI,2025000007,invoice,2710,"ДДВ 18%","Invoice 2025000007 - Adidas - ДДВ 18%",0.00,630.00,123456789,123456789,Adidas,MKD
2025-11-10,FI,2025000010,invoice,1610,"Побарувања од купувачи","Invoice 2025000010 - Adidas",8260.00,0.00,123456789,123456789,Adidas,MKD
2025-11-10,FI,2025000010,invoice,4010,"Приходи од продажба на стока","Invoice 2025000010 - Adidas",0.00,7000.00,123456789,123456789,Adidas,MKD
2025-11-10,FI,2025000010,invoice,2710,"ДДВ 18%","Invoice 2025000010 - Adidas - ДДВ 18%",0.00,1260.00,123456789,123456789,Adidas,MKD
2025-11-11,FI,2025000011,invoice,1610,"Побарувања од купувачи","Invoice 2025000011 - test MK Doo",4130.00,0.00,MK12345678,MK12345678,"test MK Doo",MKD
2025-11-11,FI,2025000011,invoice,4010,"Приходи од продажба на стока","Invoice 2025000011 - test MK Doo",0.00,3500.00,MK12345678,MK12345678,"test MK Doo",MKD
2025-11-11,FI,2025000011,invoice,2710,"ДДВ 18%","Invoice 2025000011 - test MK Doo - ДДВ 18%",0.00,630.00,MK12345678,MK12345678,"test MK Doo",MKD
2025-11-12,FI,2025000012,invoice,1610,"Побарувања од купувачи","Invoice 2025000012 - test MK Doo",14.16,0.00,MK12345678,MK12345678,"test MK Doo",MKD
2025-11-12,FI,2025000012,invoice,4010,"Приходи од продажба на стока","Invoice 2025000012 - test MK Doo",0.00,12.00,MK12345678,MK12345678,"test MK Doo",MKD
2025-11-12,FI,2025000012,invoice,2710,"ДДВ 18%","Invoice 2025000012 - test MK Doo - ДДВ 18%",0.00,2.16,MK12345678,MK12345678,"test MK Doo",MKD
2025-11-12,PL,2025000005,payment,1020,"Парични средства","Payment 2025000005 - Adidas",4130.00,0.00,123456789,123456789,Adidas,MKD
2025-11-12,PL,2025000005,payment,1610,"Побарувања од купувачи","Payment 2025000005 - Adidas",0.00,4130.00,123456789,123456789,Adidas,MKD
2025-11-15,PL,2025000002,payment,1020,"Парични средства","Payment 2025000002 - Евро Импорт ДООЕЛ",11.80,0.00,C000006,,"Евро Импорт ДООЕЛ",EUR
2025-11-15,PL,2025000002,payment,1610,"Побарувања од купувачи","Payment 2025000002 - Евро Импорт ДООЕЛ",0.00,11.80,C000006,,"Евро Импорт ДООЕЛ",EUR
2025-11-26,FP,EXP-2,expense,5000,"test category","test category - EXP-2",10035.00,0.00,,,,MKD
2025-11-26,FP,EXP-2,expense,2210,"Обврски кон добавувачи","test category - EXP-2",0.00,10035.00,,,,MKD
2025-11-30,FI,2025000013,invoice,1610,"Побарувања од купувачи","Invoice 2025000013 - Балкан Консалтинг ООД",11.80,0.00,C000005,,"Балкан Консалтинг ООД",MKD
2025-11-30,FI,2025000013,invoice,4030,"Приходи од консалтинг","Invoice 2025000013 - Балкан Консалтинг ООД",0.00,10.00,C000005,,"Балкан Консалтинг ООД",MKD
2025-11-30,FI,2025000013,invoice,2710,"ДДВ 18%","Invoice 2025000013 - Балкан Консалтинг ООД - ДДВ 18%",0.00,1.80,C000005,,"Балкан Консалтинг ООД",MKD
2025-11-30,FI,2025000016,invoice,1610,"Побарувања од купувачи","Invoice 2025000016 - test customer",200.00,0.00,C000001,,"test customer",MKD
2025-11-30,FI,2025000016,invoice,4000,"Приходи од продажба","Invoice 2025000016 - test customer",0.00,200.00,C000001,,"test customer",MKD
2025-11-30,FP,EXP-3,expense,5000,"test category","test category - EXP-3",10000.00,0.00,,,,MKD
2025-11-30,FP,EXP-3,expense,2210,"Обврски кон добавувачи","test category - EXP-3",0.00,10000.00,,,,MKD
2025-12-01,PL,2025000003,payment,1020,"Парични средства","Payment 2025000003 - Балкан Консалтинг ООД",11.80,0.00,C000005,,"Балкан Консалтинг ООД",MKD
2025-12-01,PL,2025000003,payment,1610,"Побарувања од купувачи","Payment 2025000003 - Балкан Консалтинг ООД",0.00,11.80,C000005,,"Балкан Консалтинг ООД",MKD
2025-12-04,PL,2025000006,payment,1020,"Парични средства","Payment 2025000006 - Adidas",8260.00,0.00,123456789,123456789,Adidas,MKD
2025-12-04,PL,2025000006,payment,1610,"Побарувања од купувачи","Payment 2025000006 - Adidas",0.00,8260.00,123456789,123456789,Adidas,MKD
2025-12-04,PL,2025000004,payment,1020,"Парични средства","Payment 2025000004 - Балкан Консалтинг ООД",23600.00,0.00,C000005,,"Балкан Консалтинг ООД",MKD
2025-12-04,PL,2025000004,payment,1610,"Побарувања од купувачи","Payment 2025000004 - Балкан Консалтинг ООД",0.00,23600.00,C000005,,"Балкан Консалтинг ООД",MKD
